"Architecture","Dedicated","Direct_X","Integrated","L2_Cache","Manufacturer","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Notebook_GPU","Open_GL","Release_Date","Resolution_WxH","SLI_Crossfire","Shader"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",140.8,256,1100,"GDDR5","GeForce GTX 560 Zotac AMP! 1GB Edition","No","4.5","
25-Jul-2011 ","2560x1600","Yes","5"
"Fermi GF114-325-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Zotac 1GB Edition","No","4.5","
17-May-2011 ","2560x1600","Yes","5"
"Fermi GF110-275-A1 ","Yes","DX 12.0","No",640,"Nvidia",152,320,950,"GDDR5","GeForce GTX 570 EVGA HD 2.5GB Edition","No","4.5","
01-Sep-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Ti Zotac OC Edition","No","4.5","
01-Feb-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",140.8,256,1100,"GDDR5","GeForce GTX 560 Ti Zotac AMP! 1GB Edition","No","4.5","
25-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",192.3,256,1502,"GDDR5","GeForce GTX 560 Ti Twin Frozr II/OC 2GB","No","4.5","
01-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Ti Twin Frozr II 2GB","No","4.5","
01-May-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.8,256,1053,"GDDR5","GeForce GTX 560 Ti Superclocked Edition","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.4,256,1050,"GDDR5","GeForce GTX 560 Ti Sonic 1GB Edition","No","4.5","
01-May-2012 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 (x2) ","Yes","DX 12.0","No",5122,"Nvidia",256.5,256,1002,"GDDR5","GeForce GTX 560 Ti SLI","No","4.5","
01-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",131.2,256,1025,"GDDR5","GeForce GTX 560 Ti Inno3D OC Edition","No","4.5","
01-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.4,256,1050,"GDDR5","GeForce GTX 560 Ti Twin Frozr II OC Edition","No","4.5","
01-Feb-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",131.2,256,1025,"GDDR5","GeForce GTX 560 Ti Phantom 1GB Edition","No","4.5","
01-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.8,256,1053,"GDDR5","GeForce GTX 560 Ti PNY OC2 1GB","No","4.5","
01-Mar-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.4,256,1050,"GDDR5","GeForce GTX 560 Ti Hawk Edition","No","4.5","
09-Feb-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",128,256,1000,"GDDR5","GeForce GTX 560 Ti Gigabyte OC 1GB Edition","No","4.5","
01-Jan-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.4,256,1050,"GDDR5","GeForce GTX 560 Ti Golden Sample Edition","No","4.5","
01-Feb-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Ti EVGA 2GB Edition","No","4.5","
10-Nov-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",134.8,256,1053,"GDDR5","GeForce GTX 560 Ti Superclocked DS Edition","No","4.5","
05-Nov-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",128.3,256,1002,"GDDR5","GeForce GTX 560 Ti DirectCUII TOP 2GB","No","4.5","
25-Feb-2011 ","2560x1600","Yes","5"
"Fermi GF114-400-A1 ","Yes","DX 12.0","No",512,"Nvidia",146.6,256,1145,"GDDR5","GeForce GTX 560 Ti SOC Edition","No","4.5","
01-Jan-2011 ","2560x1600","Yes","5"
